Date,borough,median_co,median_temperature,median_no2,median_o3,median_pm25,max_co,max_temperature,max_no2,max_o3,max_pm25,min_co,min_temperature,min_no2,min_o3,min_pm25
2019-01-07,Staten Island,2.6,-0.8,18.6,19.2,26,5.6,1,43.6,25.6,62,1.5,-4.4,1.9,3.2,1
2019-01-29,Staten Island,5.6,0.7,40.8,3.2,50,12.8,7.8,64.2,13.6,86,2.3,-7,0.1,0.8,13
2019-02-20,Staten Island,4.5,-1.6,32.5,27.2,28,6.8,1,47.3,500,64,0.1,-3.3,2.7,0.8,3
2019-02-25,Staten Island,2,3.3,4.7,35.2,28,3.4,6.1,27.9,500,60,0.1,-2.3,0.1,28.1,2
2019-03-06,Staten Island,2.6,-5,11.2,30.4,37,5.6,0,27.9,500,60,0.1,-8,0.1,12.8,5
2019-03-09,Staten Island,4.2,3.3,25.1,24.1,63,6.7,9.1,43.6,500,105,2.8,-0.4,11.2,8,38
2019-03-11,Staten Island,2.8,8,10.2,35.2,30,4.8,12.1,27.8,500,82,0.1,0,0.1,8,6
2019-03-15,Staten Island,4.5,16,15.8,34.4,38,8.2,24,52.2,500,88,2.4,0,4.2,0.8,1
2019-01-25,Staten Island,2.5,0.9,10.2,24.1,31,5,4,30.6,28.9,63,2,-3.2,3.8,4,5
2019-01-26,Staten Island,3.4,-1.6,14.9,16.8,29,6.3,4.2,38.9,28.1,64,2,-6.3,6.5,1.6,6
2019-01-28,Staten Island,3.4,-2.2,18.6,21.6,41,4.9,2.5,41.7,28.9,67,1.9,-5.7,6.5,7.3,7
2019-01-31,Staten Island,3.4,-11.7,11.2,21.6,30,5.6,-8.2,30.6,27.2,62,1.7,-17.2,5.6,6.4,3
2019-02-04,Staten Island,5.6,5.5,43.6,5.6,67,26.4,17.8,64.2,500,129,3.4,-2.2,31.5,0.8,5
2019-02-06,Staten Island,4.2,5,21.3,20,32,6.7,8.1,32.5,500,89,0.1,0,5.6,3.2,2
2019-02-08,Staten Island,3.7,5.9,18.6,24.8,30,6.9,12.3,35.2,500,88,2.3,-0.4,2.8,0.8,2
2019-03-01,Staten Island,4.5,0,33.4,12.1,45,6.7,2,43.6,500,79,0.2,-4.1,9.7,0.8,5
2019-03-13,Staten Island,4.5,5.2,32.5,28.1,38,10.3,8.7,56.6,500,88,0.1,-2,6.9,0.8,1
2019-03-21,Staten Island,3.4,7,32.5,24.8,29,6.9,9.7,50.1,500,75,0.1,0,4.4,2.4,5
2019-01-17,Staten Island,2.3,-1.6,20.4,18.4,25,4.8,2.8,39.9,27.2,66,1.2,-4.7,5.6,3.2,3
2019-02-09,Staten Island,3.4,-2,4.7,26.4,17,4.5,0.3,28.3,31.2,61,0.1,-4.8,1.9,21.6,2
2019-02-13,Staten Island,3.4,2,14.9,25.6,28,6.7,5.3,38,500,56,0.1,0,4.7,4.8,4
2019-02-21,Staten Island,3.4,5.6,22.3,22.4,26,8.9,11,44.5,500,61,0.1,0,4.1,1.6,1
2019-03-02,Staten Island,3.4,2,15.8,28.1,35,4.6,5.5,27.8,500,101,0.1,-1.6,8.4,16,17
2019-01-08,Staten Island,4.4,5,38,1.6,40,15.7,7.6,66.4,14.5,121,1.2,0,18.6,0.8,9
2019-01-12,Staten Island,2.5,-1.1,13.9,21.6,22,3.6,1,26,28.1,59,2,-7.7,5.6,9.6,3
