date,borough,count_pm25,count_dew,count_humidity,count_so2,count_pressure,count_o3,count_no2,count_temperature,count_wind_speed,count_wind_speed_2,count_wind_gust,count_wind_gust_2,count_co,min_pm25,min_dew,min_humidity,min_so2,min_pressure,min_o3,min_no2,min_temperature,min_wind_speed,min_wind_speed_2,min_wind_gust,min_wind_gust_2,min_co,max_pm25,max_dew,max_humidity,max_so2,max_pressure,max_o3,max_no2,max_temperature,max_wind_speed,max_wind_speed_2,max_wind_gust,max_wind_gust_2,max_co,median_pm25,median_dew,median_humidity,median_so2,median_pressure,median_o3,median_no2,median_temperature,median_wind_speed,median_wind_speed_2,median_wind_gust,median_wind_gust_2,median_co,variance_pm25,variance_dew,variance_humidity,variance_so2,variance_pressure,variance_o3,variance_no2,variance_temperature,variance_wind_speed,variance_wind_speed_2,variance_wind_gust,variance_wind_gust_2,variance_co
2020-01-27,Staten Island,108,36,120,,120,23,56,120,117,,120,,44,5,-3,41.4,,502.1,2.4,0.3,1.1,0.1,,0.7,,2.7,52,-1,78.9,,1009.3,18.4,126.1,7.5,6,,12.5,,4.5,26,-2,64,,1006.6,11.2,21.3,5.1,1.8,,5.5,,3.4,1099.52,3.23,1035.36,,21222.5,280.28,23677.5,29.12,19.34,,79.31,,4.08
2020-04-29,Staten Island,96,21,96,8,96,69,48,96,,72,,43,34,4,4,57.7,0.1,1019.4,0.8,6.5,5.9,,0.3,,0.2,1.2,62,7.3,89.7,1.5,1024.1,36.1,44.5,13.7,,6.1,,10,8.3,30,6.3,77.6,1.5,1022.6,28.1,17.6,10,,2.2,,7.7,2.3,2879.42,11.63,655.97,4.2,14.12,1534.72,1320.18,27.85,,36.21,,83.26,23.98
2020-05-23,Staten Island,83,21,94,,96,72,50,94,,37,,45,39,1,7.6,64.5,,1013.3,1.6,0.3,11.6,,0.2,,0.2,1.8,75,18.3,99,,1021.9,28.9,26.9,21.6,,7.7,,11,5.6,18,15.3,93,,1015.2,15.2,12.1,16.1,,1.5,,3.5,2.7,2856.22,123.54,793.78,,51.98,661.06,477.6,42.68,,32.07,,111.88,9.58
2020-09-16,Staten Island,111,32,118,,118,68,68,118,,57,,22,56,1,10,46,,1019.2,0.8,4.7,9.3,,0.2,,2,1.8,51,14,95.5,,1025.6,26.4,27.8,23.1,,3.6,,8,8.9,18,11,72,,1022.9,19.2,19.5,18,,1.2,,4.7,4.5,1354.5,21.1,2204.26,,38.64,878.48,396.18,205.9,,9.87,,28.57,31.96
2020-01-14,Staten Island,120,44,120,23,120,7,71,120,51,,87,,63,13,0.5,63.6,0.1,1018.9,0.8,0.1,1.1,0.1,,0.1,,2.3,80,6,98.8,2.9,1029,7.3,34.3,7.2,3.9,,5.9,,14.4,49,2,92.5,1.5,1024.6,3.2,27.8,5.3,0.5,,1,,6.7,2340.17,28.04,791.44,8.75,124.68,64.55,249.11,32.7,10.57,,22.11,,72.99
2020-04-03,Staten Island,101,42,118,,118,59,64,118,,118,,94,35,1,-2.6,40.3,,1001.2,20,0.1,6.6,,0.6,,4.5,1.7,44,7,83,,1011.7,32,10.2,13,,7.3,,13.5,3.4,10,3,67.5,,1004.8,24.1,4.7,10.2,,3.6,,9.6,2.2,586.7,92.57,1143.09,,90.53,107.67,38.5,23.77,,28.13,,30.87,3.98
2020-06-14,Staten Island,80,42,116,10,120,72,61,116,,76,,38,37,1,2.3,29,1.5,1025,5.6,1.9,11.6,,0.2,,1,1.2,54,11,82.3,1.5,1028.7,38.4,15.8,23.3,,4.4,,11,2.5,15,5.5,52,1.5,1027.5,16.8,4.7,17.2,,1.8,,6.2,1.5,2321.19,84.3,1380.1,0,7.88,1061.29,74.42,128.45,,16.55,,70.03,1.81
2020-08-13,Staten Island,115,12,84,6,114,72,69,84,,9,,19,50,15,17.3,58.3,1.5,1016.6,0.8,8.4,21.8,,0.2,,0.2,2.3,77,22,97,1.5,1019.6,34.4,44.5,27,,1.5,,2.7,6.7,46,19,83,1.5,1017.9,11.2,24.1,24.5,,0.5,,1,4.5,1845.36,29.23,957.89,0,5.17,792.6,929.83,16.19,,2.86,,8.76,16.2
2020-05-21,Staten Island,94,21,93,7,93,72,45,93,,49,,30,30,3,3.3,49,0.1,1024,1.6,0.1,4.7,,0.2,,0.2,1.8,69,10,91,1.5,1030.7,31.2,39.9,20,,4.2,,8,5,18,6.3,73,1.5,1028.9,20,15.8,13,,1.3,,5.5,2.3,3728.32,43.24,1534.5,2.8,40.59,811.36,682.8,180.11,,12.59,,40.98,8.58
2020-07-01,Staten Island,118,63,120,22,120,70,72,120,,32,,32,67,3,17.5,61,0.1,1009,0.8,8.4,18.3,,0.2,,0.2,2.3,74,20,98,2.9,1012.7,48.8,38,27,,3,,6,7.2,32,18,83,1.5,1011.2,22.4,25.1,21.6,,0.7,,2.2,3.4,2443.03,4.02,1016.29,5.43,7.97,2331.18,852.71,54,,8.32,,25.08,12.39
